,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
468,-1.06478280910009,XP_047274454,XP_047274454.1,XM_047418498.1
469,1.70423912905339,XP_047274908,XP_047274908.1,XM_047418952.1
470,0.848418006747262,XP_047274945,XP_047274945.1,XM_047418989.1
471,0.868473714667629,XP_047275214,XP_047275214.1,XM_047419258.1
472,2.12476807137444,XP_047275394,XP_047275394.1,XM_047419438.1
473,2.50025540271869,XP_047275651,XP_047275651.1,XM_047419695.1
474,0.788738688307494,XP_047275820,XP_047275820.1,XM_047419864.1
475,0.811981931688671,XP_047276524,XP_047276524.1,XM_047420568.1
476,1.05158531583213,XP_047277179,XP_047277179.1,XM_047421223.1
477,1.15443234384296,XP_047277180,XP_047277180.1,XM_047421224.1
478,1.20240417757629,XP_047277357,XP_047277357.1,XM_047421401.1
479,-1.2536303259344,XP_047277650,XP_047277650.1,XM_047421694.1
480,1.15076365411967,XP_047279488,XP_047279488.1,XM_047423532.1
481,1.06324418705076,XP_047279490,XP_047279490.1,XM_047423534.1
482,1.11348872989828,XP_047279566,XP_047279566.1,XM_047423610.1
483,0.526495261074862,XP_047279711,XP_047279711.1,XM_047423755.1
484,0.791162060938836,XP_047280122,XP_047280122.1,XM_047424166.1
485,0.753003526273698,XP_047280506,XP_047280506.1,XM_047424550.1
486,1.4981993726705,XP_047281741,XP_047281741.1,XM_047425785.1
487,1.18087246106757,XP_047282093,XP_047282093.1,XM_047426137.1
488,-0.607155198013584,XP_047283083,XP_047283083.1,XM_047427127.1
489,0.734256236641096,XP_047283291,XP_047283291.1,XM_047427335.1
490,-1.26600186013091,XP_047283711,XP_047283711.1,XM_047427755.1
491,-1.08747813791989,XP_047283966,XP_047283966.1,XM_047428010.1
492,1.27108161272582,XP_047284036,XP_047284036.1,XM_047428080.1
493,1.92741227648964,XP_047284038,XP_047284038.1,XM_047428082.1
494,0.660268312795162,XP_047286160,XP_047286160.1,XM_047430204.1
495,1.82168769385764,XP_047286339,XP_047286339.1,XM_047430383.1
496,-1.58135135046443,XP_047286354,XP_047286354.1,XM_047430398.1
497,1.85029686244809,XP_047286983,XP_047286983.1,XM_047431027.1
498,2.08685417210471,XP_047287368,XP_047287368.1,XM_047431412.1
499,1.10734807167786,XP_047289722,XP_047289722.1,XM_047433766.1
500,1.08417873439805,XP_047289755,XP_047289755.1,XM_047433799.1
501,0.622140218176565,XP_047290362,XP_047290362.1,XM_047434406.1
502,1.43935108960438,XP_047290982,XP_047290982.1,XM_047435026.1
503,1.45420217763894,XP_047292344,XP_047292344.1,XM_047436388.1
504,0.958757472945561,XP_047292612,XP_047292612.1,XM_047436656.1
505,0.683093345618931,XP_047294596,XP_047294596.1,XM_047438640.1
506,1.09428086626003,XP_047295388,XP_047295388.1,XM_047439432.1
507,-1.98013291086789,XP_047295552,XP_047295552.1,XM_047439596.1
508,0.920492204331409,XP_047296590,XP_047296590.1,XM_047440634.1
509,1.47732781430491,XP_047296655,XP_047296655.1,XM_047440699.1
510,-2.37272395987938,XP_047297495,XP_047297495.1,XM_047441539.1
511,-0.983287549586443,XP_047298940,XP_047298940.1,XM_047442984.1
512,1.68567625399099,XP_047299261,XP_047299261.1,XM_047443305.1
513,-0.968123821596358,XP_047299913,XP_047299913.1,XM_047443957.1
514,0.696001802420589,XP_047300243,XP_047300243.1,XM_047444287.1
515,0.828039679642883,XP_047300685,XP_047300685.1,XM_047444729.1
516,1.46833424626737,XP_047301591,XP_047301591.1,XM_047445635.1
517,0.919390603970821,XP_047304274,XP_047304274.1,XM_047448318.1
518,1.77528208336287,XP_047304322,XP_047304322.1,XM_047448366.1
519,-1.00449353233273,XP_047305391,XP_047305391.1,XM_047449435.1
520,-1.29219815349424,XP_047305396,XP_047305396.1,XM_047449440.1
521,0.86207235627337,XP_047305919,XP_047305919.1,XM_047449963.1
522,-0.837731633979057,XP_054187975,XP_054187975.1,XM_054332000.1
523,-1.32929669088196,XP_054188147,XP_054188147.1,XM_054332172.1
524,-0.858873012187084,XP_054189277,XP_054189277.1,XM_054333302.1
