,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
508,-1.01007111795876,NP_006266,NP_006266.2,NM_006275.6
509,-0.675664421059359,NP_006280,NP_006280.3,NM_006289.4
510,-1.26792035726167,NP_006295,NP_006295.1,NM_006304.2
511,-1.15776067312854,NP_006296,NP_006296.1,NM_006305.4
512,-0.876841126275105,NP_006311,NP_006311.3,NM_006320.6
513,-0.675610399984537,NP_006315,NP_006315.1,NM_006324.3
514,-1.08385584923517,NP_006323,NP_006323.2,NM_006332.5
515,-1.09984026533464,NP_006326,NP_006326.1,NM_006335.3
516,-0.905911162118072,NP_006360,NP_006360.3,NM_006369.5
517,-0.939829898171414,NP_006382,NP_006382.1,NM_006391.3
518,-0.616761100043304,NP_006388,NP_006388.2,NM_006397.3
519,-0.866607438919644,NP_006392,NP_006392.1,NM_006401.3
520,-1.01614599668685,NP_006397,NP_006397.1,NM_006406.2
521,-1.08298218644298,NP_006398,NP_006398.1,NM_006407.4
522,-1.27918567417524,NP_006428,NP_006428.2,NM_006437.4
523,-0.720141226370102,NP_006444,NP_006444.2,NM_006453.3
524,-0.838424072775804,NP_006445,NP_006445.1,NM_006454.3
525,-0.980397302968844,NP_006451,NP_006451.1,NM_006460.3
526,-0.919185009777902,NP_006467,NP_006467.4,NM_006476.5
527,-0.84076278158142,NP_006501,NP_006501.1,NM_006510.5
528,-0.84076278158142,NP_006501,NP_006501.1-3,NM_006510.5-3
529,-0.84076278158142,NP_006501,NP_006501.1-4,NM_006510.5-4
530,-0.84076278158142,NP_006501,NP_006501.1-6,NM_006510.5-6
531,-0.84076278158142,NP_006501,NP_006501.1-7,NM_006510.5-7
532,-0.972230119845472,NP_006561,NP_006561.1,NM_006570.5
533,-1.36494110137951,NP_006562,NP_006562.1,NM_006571.4
534,-0.845923384086834,NP_006570,NP_006570.1,NM_006579.3
535,1.88650770160167,NP_006603,NP_006603.2,NM_006612.6
536,-1.00638870626484,NP_006618,NP_006618.1,NM_006627.3
537,-1.43939454077258,NP_006658,NP_006658.1,NM_006667.5
538,-0.929349831889586,NP_006685,NP_006685.1,NM_006694.4
539,-0.77602640082241,NP_006694,NP_006694.1,NM_006703.4
540,-0.794579030992893,NP_006708,NP_006708.2,NM_006717.3
541,-0.990162670440508,NP_006734,NP_006734.1,NM_006743.5
542,-0.864432221696365,NP_006752,NP_006752.1,NM_006761.5
543,-0.864432221696365,NP_006752,NP_006752.1-2,NM_006761.5-2
544,-0.993997934152125,NP_006758,NP_006758.2,NM_006767.4
545,-1.32192703925837,NP_006784,NP_006784.1,NM_006793.5
546,-1.0261994253254,NP_006796,NP_006796.1,NM_006805.4
547,-1.2321866252723,NP_006817,NP_006817.1,NM_006826.4
548,-0.781036025133386,NP_006818,NP_006818.3,NM_006827.6
549,-0.833151086880537,NP_006824,NP_006824.2,NM_006833.5
550,1.38777199285261,NP_006857,NP_006857.2,NM_006866.4
