,lfc_NFlag,REFSEQ_new,REFSEQ,ISO
202,1.8726702867276,XP_047289773,XP_047289773.1,XM_047433817.1
203,1.92531544821608,XP_047290558,XP_047290558.1,XM_047434602.1
204,-1.9324370859909,XP_047290893,XP_047290893.1,XM_047434937.1
205,2.99398616592008,XP_047290968,XP_047290968.1,XM_047435012.1
206,2.15299414528401,XP_047291002,XP_047291002.1,XM_047435046.1
207,2.1165083443454,XP_047292137,XP_047292137.1,XM_047436181.1
208,1.89357278297941,XP_047292140,XP_047292140.1,XM_047436184.1
209,2.92241512586835,XP_047293220,XP_047293220.1,XM_047437264.1
210,1.80975717298082,XP_047295027,XP_047295027.1,XM_047439071.1
211,2.66999287349208,XP_047295028,XP_047295028.1,XM_047439072.1
212,2.25809741731167,XP_047295030,XP_047295030.1,XM_047439074.1
213,2.37457112495978,XP_047295031,XP_047295031.1,XM_047439075.1
214,2.8898119155542,XP_047295033,XP_047295033.1,XM_047439077.1
215,1.52720981339681,XP_047295417,XP_047295417.1,XM_047439461.1
216,2.22810123171161,XP_047296274,XP_047296274.1,XM_047440318.1
217,2.11039129302837,XP_047298140,XP_047298140.1,XM_047442184.1
218,2.06886123683197,XP_047298205,XP_047298205.1,XM_047442249.1
219,1.92109497153298,XP_047298920,XP_047298920.1,XM_047442964.1
220,1.91818692358032,XP_047299686,XP_047299686.1,XM_047443730.1
221,2.75296985770024,XP_047300551,XP_047300551.1,XM_047444595.1
222,1.51471722829257,XP_047301922,XP_047301922.1,XM_047445966.1
223,1.80393083025858,XP_047301976,XP_047301976.1,XM_047446020.1
224,2.32434637596658,XP_047302116,XP_047302116.1,XM_047446160.1
225,2.28371428773216,XP_047303421,XP_047303421.1,XM_047447465.1
226,3.00067742024425,XP_047305484,XP_047305484.1,XM_047449528.1
